HOUSE NUMBER,STREET,ZIPCODE,PROPERTY CLASS CODE DESCRIPTION,FRONT,DEPTH,HOUSE NUMBER STREET ZIPCODE
156,FOURTEENTH,14213,TWO FAMILY DWELLING,30.00,150.00,156 FOURTEENTH 14213
9,RED JACKET ST,14210,RESIDENTIAL VACANT LAND,33.00,56.00,9 RED JACKET ST 14210
164,FOURTEENTH,14213,MULTIPLE RESIDENCES,45.00,150.00,164 FOURTEENTH 14213
178,SMITH,14210,RESIDENTIAL VACANT LAND,30.00,98.00,178 SMITH 14210
322,FOURTEENTH,14213,TWO FAMILY DWELLING,24.50,149.00,322 FOURTEENTH 14213
364,FOURTEENTH,14213,ONE FAMILY DWELLING,25.00,148.00,364 FOURTEENTH 14213
374,FOURTEENTH,14213,TWO FAMILY DWELLING,32.00,148.00,374 FOURTEENTH 14213
120,VERMONT,14213,THREE FAMILY DWELLING,40.00,116.00,120 VERMONT 14213
380,FOURTEENTH,14213,MULTIPLE RESIDENCES,36.00,148.00,380 FOURTEENTH 14213
386,FOURTEENTH,14213,ONE FAMILY DWELLING,25.00,148.00,386 FOURTEENTH 14213
390,FOURTEENTH,14213,ONE FAMILY DWELLING,25.00,95.00,390 FOURTEENTH 14213
426,FOURTEENTH,14213,TWO FAMILY DWELLING,27.00,149.00,426 FOURTEENTH 14213
140,HAMPSHIRE,14213,TWO FAMILY DWELLING,30.00,100.00,140 HAMPSHIRE 14213
276,SMITH,14210,RESIDENTIAL VACANT LAND,30.00,114.00,276 SMITH 14210
356,HAMPSHIRE,14213,TWO FAMILY DWELLING,31.00,124.00,356 HAMPSHIRE 14213
111,HAMPSHIRE,14213,COMMERCIAL VACANT LAND,35.00,151.00,111 HAMPSHIRE 14213
117,HAMPSHIRE,14213,TWO FAMILY DWELLING,67.00,116.50,117 HAMPSHIRE 14213
185,HAMPSHIRE,14213,TWO FAMILY DWELLING,30.00,100.00,185 HAMPSHIRE 14213
623,DIVISION SOUTH,14210,INDUSTRIAL VACANT LAND,251.27,410.00,623 DIVISION SOUTH 14210
335,HAMPSHIRE,14213,TWO FAMILY DWELLING,30.00,120.00,335 HAMPSHIRE 14213
640,DIVISION SOUTH,14210,INDUSTRIAL VACANT LAND,112.00,330.00,640 DIVISION SOUTH 14210
438,PLYMOUTH,14213,RESIDENTIAL VACANT LAND,27.10,149.00,438 PLYMOUTH 14213
343,HAMPSHIRE,14213,ONE FAMILY DWELLING,30.00,120.00,343 HAMPSHIRE 14213
405,HAMPSHIRE,14213,DOWNTOWN ROW TYPE (DETACHED),31.00,90.00,405 HAMPSHIRE 14213
407,HAMPSHIRE,14213,DOWNTOWN ROW TYPE (DETACHED),30.00,90.00,407 HAMPSHIRE 14213
920,SOUTH PARK,14210,COMMERCIAL VACANT LAND,25.00,100.00,920 SOUTH PARK 14210
66,HERKIMER,14213,ONE FAMILY DWELLING,30.00,100.00,66 HERKIMER 14213
27,EIGHTEENTH,14213,TWO FAMILY DWELLING,60.00,106.00,27 EIGHTEENTH 14213
730,WEST,14213,DOWNTOWN ROW TYPE (DETACHED),70.00,149.50,730 WEST 14213
294,MASSACHUSETTS,14213,TWO FAMILY DWELLING,29.50,110.00,294 MASSACHUSETTS 14213
45,EIGHTEENTH,14213,RESIDENTIAL VACANT LAND,30.00,106.00,45 EIGHTEENTH 14213
336,MASSACHUSETTS,14213,TWO FAMILY DWELLING,30.00,120.00,336 MASSACHUSETTS 14213
55,EIGHTEENTH,14213,TWO FAMILY DWELLING,32.00,60.00,55 EIGHTEENTH 14213
95,EIGHTEENTH,14213,TWO FAMILY DWELLING,30.00,106.00,95 EIGHTEENTH 14213
384,MASSACHUSETTS,14213,TWO FAMILY DWELLING,60.30,105.00,384 MASSACHUSETTS 14213
28,EIGHTEENTH,14213,TWO FAMILY DWELLING,30.00,100.00,28 EIGHTEENTH 14213
526,MASSACHUSETTS,14213,TWO FAMILY DWELLING,45.00,54.00,526 MASSACHUSETTS 14213
44,EIGHTEENTH,14213,RESIDENTIAL VACANT LAND,30.00,100.00,44 EIGHTEENTH 14213
1065,NIAGARA,14213,TWO FAMILY DWELLING,30.00,0.00,1065 NIAGARA 14213
479,FARGO,14213,RESIDENTIAL VACANT LAND,28.00,120.00,479 FARGO 14213
231,EFNER,14201,MULTIPLE RESIDENCES,25.00,93.00,231 EFNER 14201
1095,NIAGARA,14213,COMMERCIAL VACANT LAND,202.50,0.00,1095 NIAGARA 14213
854,NIAGARA,14213,ONE FAMILY DWELLING,40.00,39.00,854 NIAGARA 14213
303,FARGO,14213,TWO FAMILY DWELLING,25.00,148.00,303 FARGO 14213
109,FARGO,14201,TWO FAMILY DWELLING,40.00,148.00,109 FARGO 14201
860,NIAGARA,14213,RESIDENCE WITH COMMERCIAL USE,40.00,132.00,860 NIAGARA 14213
864,NIAGARA,14213,APARTMENT,40.00,132.00,864 NIAGARA 14213
1106,NIAGARA,14213,MANUFACTURING & PROCESSING,112.50,173.27,1106 NIAGARA 14213
1110,NIAGARA,14215,MANUFACTURING & PROCESSING,113.37,40.00,1110 NIAGARA 14215
32,NINETEENTH,14213,ONE FAMILY DWELLING,30.00,106.00,32 NINETEENTH 14213
153,NORMAL,14213,TWO FAMILY DWELLING,24.75,101.00,153 NORMAL 14213
181,NORMAL,14213,MULTIPLE RESIDENCES,32.00,149.00,181 NORMAL 14213
183,NORMAL,14213,MULTIPLE RESIDENCES,32.00,149.00,183 NORMAL 14213
39,EIGHTEENTH,14213,TWO FAMILY DWELLING,30.00,106.00,39 EIGHTEENTH 14213
520,FARGO,14213,TWO FAMILY DWELLING,25.00,232.00,520 FARGO 14213
215,NORMAL,14213,TWO FAMILY DWELLING,40.00,149.00,215 NORMAL 14213
265,NIAGARA,14201,TWO FAMILY DWELLING,50.00,107.00,265 NIAGARA 14201
297,NORMAL,14213,MULTIPLE RESIDENCES,28.00,149.00,297 NORMAL 14213
294,NORMAL,14213,TWO FAMILY DWELLING,30.00,149.00,294 NORMAL 14213
298,NORMAL,14213,MULTIPLE RESIDENCES,34.00,149.00,298 NORMAL 14213
426,NORMAL,14213,ONE FAMILY DWELLING,27.00,149.00,426 NORMAL 14213
21,EIGHTEENTH,14213,RESIDENTIAL LAND WITH SMALL IMPROVEMENTS,30.00,106.00,21 EIGHTEENTH 14213
432,NORMAL,14213,TWO FAMILY DWELLING,27.00,149.00,432 NORMAL 14213
299,PLYMOUTH,14213,TWO FAMILY DWELLING,27.00,149.00,299 PLYMOUTH 14213
165,FIFTEENTH,14213,TWO FAMILY DWELLING,25.00,65.00,165 FIFTEENTH 14213
445,FARGO,14213,RESIDENTIAL VACANT LAND,33.33,148.00,445 FARGO 14213
459,PLYMOUTH,14213,ONE FAMILY DWELLING,27.00,149.00,459 PLYMOUTH 14213
